Datetime,Open,High,Low,Close,Volume,body_mid,momentum,return_1,avg_volume,volume_spike,volatility,directional_volume,atr_14,atr_ratio,adx_14,trending_market,ranging_market,high_volatility_market,low_volatility_market,rolling_avg_momentum,compression_width,lower_wick,upper_wick,wick_ratio,bearish_sequence_strength,bullish_sequence_strength,volatility_expansion,pivot_mean,pivot_distance,symbol,swing_high,swing_low,swing_high_score,swing_low_score,anchored_support,anchored_resistance,support_anchor_1_position,support_anchor_1_price,support_anchor_2_position,support_anchor_2_price,resistance_anchor_1_position,resistance_anchor_1_price,resistance_anchor_2_position,resistance_anchor_2_price,distance_to_anchored_support,distance_to_anchored_resistance,anchored_breakout,anchored_breakdown,failed_breakdown,trend_slope_50,trend_slope_100,ma_20,ma_50,ma_100,bullish_cross_20_50,bearish_cross_20_50,bullish_cross_50_100,bearish_cross_50_100,ma_cross_distance_20_50,ma_cross_distance_50_100,rolling_higher_highs,rolling_lower_lows,directional_persistence,equilibrium_trend_distance,target_d,target_p
2026-05-14 14:15:00+05:30,775.75,776.45,774.45,776.1,1102703,775.925,6.4500000000000455,0.0003866976024748947,1873194.0,0.5886752786951058,0.002076814179149331,385946.0500000251,4.699999999999989,0.006055920628784936,56.106800780876256,1,0,1,0,13.364999999999998,31.25,1.2999999999999545,0.35000000000002274,3.714285703673098,1.0,4.0,0.4855292585201899,764.8275000000001,0.014524545805952742,HDFCBANK.NS,0,0,0.0,0.0,744.9736842105264,840.1953846153847,67.0,772.6,200.0,754.5,74.0,782.3,139.0,801.5,0.040106063380329425,0.08258650253238585,0,0,0,0.4613493397358994,-0.1129072907290707,764.8275000000001,757.78,761.184,0,0,0,0,0.009080659708800577,-0.0043860327277412655,11.0,6.0,0.2,0.0029049091611905485,0,-0.01127432031954645
2026-05-14 14:30:00+05:30,776.05,776.3,773.0,773.75,1679630,774.9,4.0,-0.0030279603143924527,1879416.6,0.8936975442272883,0.002109562864869155,-3863148.9999999236,4.649999999999985,0.006009693053311774,59.66792219907778,1,0,1,0,12.095000000000004,31.25,0.75,0.25,2.999999988,2.0,3.0,0.49670199823162675,765.9,0.010145395799676927,HDFCBANK.NS,0,0,0.0,0.0,744.8375939849624,840.4907692307693,67.0,772.6,200.0,754.5,74.0,782.3,139.0,801.5,0.037366599050129394,0.08625624456319131,0,0,0,0.48562785114046003,-0.09403870387038703,765.9,758.2080000000001,761.1215,0,0,0,0,0.009941195476574984,-0.003765428109854456,10.0,7.0,0.2,0.0020290791599353853,2,0.010403877221324659
2026-05-14 14:45:00+05:30,773.85,773.85,771.0,772.15,1643726,773.0,1.1499999999999773,-0.00206785137318255,1866185.7,0.8807944461261278,0.0022574505858946195,-2794334.2000000747,3.9749999999999903,0.005147963478598705,62.35826843431554,1,0,1,0,10.345000000000004,31.25,1.1499999999999773,0.0,1149999999.999977,3.0,2.0,0.5347190933102628,766.84,0.006876902156316708,HDFCBANK.NS,0,0,0.0,0.0,744.7015037593985,777.8797945205479,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.03554813992177874,0.007420571806705819,0,0,0,0.5020048019207628,-0.07568196819682334,766.84,758.6210000000001,761.0369999999999,0,0,0,0,0.010644304863044664,-0.0031289257268663166,10.0,7.0,0.1,0.0006876902156316709,2,0.012497571715340255
2026-05-14 15:00:00+05:30,772.1,772.1,767.35,769.25,4917113,770.675,-2.3500000000000227,-0.003755746940361293,2064188.55,2.382104580514217,0.002603034603556453,-14013772.050000113,3.3714285714285586,0.004382747574167772,59.6524191194449,1,0,1,0,8.05,31.25,1.8999999999999773,0.0,1899999999.999977,4.0,1.0,0.6175772020767041,767.6475,0.0020831979200519515,HDFCBANK.NS,0,1,0.0,1.4007126567844805,744.5654135338345,777.7397260273972,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.03208916017701067,0.011036367926418177,0,0,0,0.5030852340936388,-0.058431443144315726,767.6475,759.029,760.915,0,0,0,0,0.011203769905752408,-0.0024517387065322942,9.0,8.0,0.1,0.00020831979200519515,2,0.01631459213519656
2026-05-14 15:15:00+05:30,769.25,771.4,768.2,770.1,2625240,769.675,-4.699999999999932,0.0011049723756906271,2161363.5,1.2146221586512402,0.0025706636195916227,2231454.0000000596,3.182142857142838,0.004132116422728006,56.59932123880818,1,0,1,0,5.315000000000009,31.25,1.0499999999999545,1.2999999999999545,0.8076923070709991,3.0,2.0,0.6119107567216525,768.6025000000001,0.0019445526554992148,HDFCBANK.NS,0,0,0.0,0.0,744.4293233082707,777.5996575342465,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.033334212039643346,0.00973855023275739,0,0,0,0.5192677070828284,-0.040620462046207464,768.6025000000001,759.3309999999999,760.803,0,0,0,0,0.012039345539540544,-0.0019114400727179505,9.0,7.0,0.2,0.000388910531099843,2,0.01519283209972722
2026-05-15 09:15:00+05:30,773.9,781.8,768.05,781.6,1260153,777.75,5.75,0.014933125568107997,2184343.75,0.5769023305054436,0.00542682088202948,9703178.100000057,3.8607142857142662,0.004939501389091948,55.792183697616814,1,0,1,0,3.930000000000007,34.75,5.850000000000023,0.1999999999999318,29.24999985376009,3.0,2.0,1.2543038212953186,770.225,0.014553480040941657,HDFCBANK.NS,1,0,0.0,0.0,744.2932330827067,777.4595890410958,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.04773127804157282,-0.005297352813337035,0,0,0,0.5497935174069623,-0.020752475247528705,770.225,759.955,760.8870000000002,0,0,0,0,0.013139713408393016,-0.0011924257932447928,10.0,7.0,0.3,0.0043660440122824965,0,-0.010683213920163795
2026-05-15 09:30:00+05:30,781.55,781.55,778.4,779.7,1280810,780.625,2.050000000000068,-0.002430910951893517,2179175.3,0.5877498703293856,0.005442234805020953,-2369498.4999998836,3.9428571428571217,0.005056890012642198,53.982041296816355,1,0,1,0,2.855000000000018,33.5,1.3000000000000682,0.0,1300000000.0000682,3.0,2.0,1.2219185954518843,771.7925,0.01014172117481086,HDFCBANK.NS,0,0,0.0,0.0,744.1571428571428,777.3195205479451,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.04558529837483288,-0.003053070991477417,1,0,0,0.5727298919567828,-0.003932193219320759,771.7925,760.5419999999999,760.982,0,0,0,0,0.01442926766705156,-0.0005643196101065212,10.0,6.0,0.3,0.0030425163524432576,0,-0.008272412466333263
2026-05-15 09:45:00+05:30,780.0,780.4,776.5,776.55,1085510,778.275,0.75,-0.00404001539053489,2207178.4,0.49180890860475984,0.005628135101219721,-3745009.5000000494,4.103571428571407,0.005284362151273462,52.24886067743029,1,0,1,0,2.475000000000011,29.799999999999955,0.049999999999954525,0.39999999999997726,0.1249999996873934,3.0,2.0,1.2324463824328649,773.02,0.004545747215246891,HDFCBANK.NS,0,0,0.0,0.0,744.021052631579,777.1794520547945,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.041889057199692194,0.000810575049635657,0,0,0,0.5869051620648225,0.010842184218421912,773.02,761.054,761.0465,0,0,1,0,0.015409181636726558,9.658103148459642e-06,9.0,7.0,0.2,0.0009091494430493782,2,0.005472925117506922
2026-05-15 10:00:00+05:30,776.5,778.3,775.6,778.0,870194,777.25,1.8999999999999773,0.0018672332753848497,2124673.9,0.40956591032628586,0.0056101210280755315,1305291.0,4.1357142857142595,0.0053158281307381225,50.09778285502914,1,0,1,0,2.100000000000011,19.84999999999991,0.8999999999999773,0.2999999999999545,2.999999990000379,2.0,3.0,1.2227382064319925,773.8199999999999,0.0053727506426736035,HDFCBANK.NS,0,0,0.0,0.0,743.884962406015,777.0393835616438,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.04384966271720436,-0.0012347254991724537,0,0,0,0.6032581032412934,0.0256732673267297,773.8199999999999,761.585,761.1375,0,0,0,0,0.015726221079691387,0.0005751928020565436,8.0,8.0,0.2,0.0010745501285347207,0,-0.006105398457583547
2026-05-15 10:15:00+05:30,778.0,780.8,777.35,779.45,1478029,778.725,5.7000000000000455,0.001863753213367625,2002378.5,0.738136670964056,0.005565509248658588,2143142.0500000673,4.14285714285711,0.005315103140492796,47.98892140848623,1,0,1,0,2.070000000000016,14.649999999999977,0.6499999999999773,1.349999999999909,0.4814814811248441,2.0,3.0,1.219218777528532,774.2275,0.0067002373468472405,HDFCBANK.NS,0,0,0.0,0.0,743.7488721804511,776.8993150684931,67.0,772.6,200.0,754.5,123.0,798.75,269.0,778.3,0.045802973660336005,-0.0032724163596214093,1,0,0,0.6218199279711906,0.04092319231922947,774.2275,762.1340000000001,761.2485,0,0,0,0,0.015515427545063616,0.0011360574764258038,8.0,8.0,0.2,0.0013400474693694483,0,-0.007954326768875548
