Datetime,Open,High,Low,Close,Volume,body_mid
2026-03-19 13:00:00+05:30,157.40,157.45,156.90,156.95,28914,157.18
2026-03-19 13:30:00+05:30,156.95,157.20,156.49,156.50,32620,156.72
2026-03-19 14:00:00+05:30,156.51,156.65,155.61,155.95,41468,156.23
2026-03-19 14:30:00+05:30,156.05,156.25,155.05,155.17,62716,155.61
2026-03-19 15:00:00+05:30,155.20,155.59,155.00,155.50,111982,155.35
2026-03-20 09:00:00+05:30,157.89,158.80,156.79,158.59,52483,158.24
2026-03-20 09:30:00+05:30,158.55,158.73,157.52,157.58,63064,158.06
2026-03-20 10:00:00+05:30,157.71,157.85,157.06,157.66,24214,157.68
2026-03-20 10:30:00+05:30,157.70,157.90,157.52,157.67,10970,157.68
2026-03-20 11:00:00+05:30,157.69,158.17,157.11,157.75,22266,157.72
2026-03-20 11:30:00+05:30,157.84,157.90,156.74,156.74,38271,157.29
2026-03-20 12:00:00+05:30,156.80,156.92,155.84,156.82,44644,156.81
2026-03-20 12:30:00+05:30,156.78,156.82,156.29,156.43,39301,156.61
2026-03-20 13:00:00+05:30,156.35,157.40,156.15,157.08,95252,156.72
2026-03-20 13:30:00+05:30,157.07,157.07,156.28,156.56,40065,156.82
2026-03-20 14:00:00+05:30,156.56,156.94,156.20,156.28,12345,156.42
2026-03-20 14:30:00+05:30,156.29,156.50,155.36,155.64,45887,155.96
2026-03-20 15:00:00+05:30,155.56,155.56,153.25,153.95,587450,154.76
2026-03-23 09:00:00+05:30,152.00,152.00,149.18,149.60,63302,150.80
2026-03-23 09:30:00+05:30,149.44,149.83,148.71,148.71,156762,149.07
2026-03-23 10:00:00+05:30,148.87,148.88,147.35,147.55,91015,148.21
2026-03-23 10:30:00+05:30,147.55,148.73,147.33,147.80,86903,147.68
2026-03-23 11:00:00+05:30,147.66,148.59,147.37,148.33,46220,148.00
2026-03-23 11:30:00+05:30,148.34,148.50,147.41,147.75,96993,148.05
2026-03-23 12:00:00+05:30,147.85,148.18,147.19,147.82,25704,147.83
2026-03-23 12:30:00+05:30,147.78,147.97,146.73,146.93,73700,147.36
2026-03-23 13:00:00+05:30,146.99,147.78,146.80,147.30,39114,147.15
2026-03-23 13:30:00+05:30,147.40,149.40,147.40,148.79,49751,148.10
2026-03-23 14:00:00+05:30,148.75,149.50,148.40,148.40,82750,148.57
2026-03-23 14:30:00+05:30,148.40,148.59,147.46,147.87,76541,148.14
2026-03-23 15:00:00+05:30,147.50,147.76,146.50,147.00,122006,147.25
2026-03-24 09:00:00+05:30,149.80,150.08,148.08,149.34,52099,149.57
2026-03-24 09:30:00+05:30,149.40,149.71,148.00,148.60,81258,149.00
2026-03-24 10:00:00+05:30,148.50,148.64,147.63,147.64,51195,148.07
2026-03-24 10:30:00+05:30,147.65,147.65,145.38,146.37,101465,147.01
2026-03-24 11:00:00+05:30,146.37,147.80,146.31,147.42,44219,146.89
2026-03-24 11:30:00+05:30,147.42,148.35,147.24,148.34,51022,147.88
2026-03-24 12:00:00+05:30,148.37,149.60,148.10,148.76,77243,148.56
2026-03-24 12:30:00+05:30,148.86,150.60,148.73,150.33,82051,149.60
2026-03-24 13:00:00+05:30,150.34,151.00,149.87,150.83,77829,150.58
2026-03-24 13:30:00+05:30,150.83,151.00,149.88,150.10,61377,150.46
2026-03-24 14:00:00+05:30,150.10,151.11,149.86,150.76,47444,150.43
2026-03-24 14:30:00+05:30,150.78,150.78,149.10,149.67,124306,150.22
2026-03-24 15:00:00+05:30,149.77,149.77,148.00,149.00,367626,149.38
2026-03-25 09:00:00+05:30,150.23,153.42,150.23,153.03,49409,151.63
2026-03-25 09:30:00+05:30,152.99,153.50,152.18,153.16,117787,153.07
2026-03-25 10:00:00+05:30,153.39,153.50,153.00,153.35,65833,153.37
2026-03-25 10:30:00+05:30,153.26,153.77,153.20,153.25,52206,153.26
2026-03-25 11:00:00+05:30,153.24,153.63,152.50,152.50,76156,152.87
2026-03-25 11:30:00+05:30,152.60,152.75,151.75,151.93,74529,152.26
2026-03-25 12:00:00+05:30,151.92,152.88,151.92,152.30,121232,152.11
2026-03-25 12:30:00+05:30,152.29,152.47,151.38,151.50,142810,151.89
2026-03-25 13:00:00+05:30,151.49,151.73,151.30,151.69,39307,151.59
2026-03-25 13:30:00+05:30,151.68,152.20,151.55,152.16,35145,151.92
2026-03-25 14:00:00+05:30,152.16,152.66,151.31,151.55,80249,151.86
2026-03-25 14:30:00+05:30,151.53,151.80,150.90,151.15,77667,151.34
2026-03-25 15:00:00+05:30,151.15,151.44,151.00,151.01,139975,151.08
2026-03-27 09:00:00+05:30,150.80,152.73,150.01,151.35,159126,151.07
2026-03-27 09:30:00+05:30,151.25,152.11,148.02,148.15,244111,149.70
2026-03-27 10:00:00+05:30,147.97,148.00,146.36,146.44,188331,147.20
2026-03-27 10:30:00+05:30,146.48,146.85,145.61,146.14,208867,146.31
2026-03-27 11:00:00+05:30,146.14,146.60,145.80,146.22,76023,146.18
2026-03-27 11:30:00+05:30,146.22,146.79,145.89,146.09,72955,146.16
2026-03-27 12:00:00+05:30,146.08,146.71,145.80,146.71,56830,146.40
2026-03-27 12:30:00+05:30,146.55,146.55,145.40,145.73,153194,146.14
2026-03-27 13:00:00+05:30,145.76,146.29,145.50,145.70,104931,145.73
2026-03-27 13:30:00+05:30,145.70,145.90,145.28,145.31,86477,145.50
2026-03-27 14:00:00+05:30,145.31,145.80,145.15,145.45,156054,145.38
2026-03-27 14:30:00+05:30,145.45,145.55,144.99,145.03,149087,145.24
2026-03-27 15:00:00+05:30,144.85,144.96,144.12,144.55,358005,144.70
2026-03-30 09:00:00+05:30,143.60,145.11,141.60,144.51,101452,144.06
2026-03-30 09:30:00+05:30,144.71,145.77,144.01,144.16,165812,144.44
2026-03-30 10:00:00+05:30,144.17,144.31,142.21,142.21,101200,143.19
2026-03-30 10:30:00+05:30,142.32,143.10,142.10,142.27,78039,142.30
2026-03-30 11:00:00+05:30,142.15,142.50,141.64,141.89,78135,142.02
2026-03-30 11:30:00+05:30,141.88,142.64,141.87,142.43,36919,142.16
2026-03-30 12:00:00+05:30,142.44,143.29,142.30,142.46,65870,142.45
2026-03-30 12:30:00+05:30,142.45,142.91,142.45,142.53,51069,142.49
2026-03-30 13:00:00+05:30,142.53,143.19,142.30,142.52,64417,142.52
2026-03-30 13:30:00+05:30,142.65,142.90,141.20,141.37,76826,142.01
2026-03-30 14:00:00+05:30,141.34,142.04,140.73,140.97,87084,141.16
2026-03-30 14:30:00+05:30,140.95,141.16,139.66,139.78,148720,140.36
2026-03-30 15:00:00+05:30,139.86,139.86,138.98,139.22,331899,139.54
2026-04-01 09:00:00+05:30,144.90,146.27,143.33,146.22,109691,145.56
2026-04-01 09:30:00+05:30,146.27,147.20,144.65,146.65,185148,146.46
2026-04-01 10:00:00+05:30,146.65,147.05,145.80,145.87,103483,146.26
2026-04-01 10:30:00+05:30,146.00,147.00,146.00,146.80,45746,146.40
2026-04-01 11:00:00+05:30,146.77,147.30,146.22,147.24,70147,147.00
2026-04-01 11:30:00+05:30,147.21,148.20,147.21,147.78,93353,147.50
2026-04-01 12:00:00+05:30,147.75,148.86,147.73,148.66,81214,148.20
2026-04-01 12:30:00+05:30,148.66,148.80,148.29,148.29,72618,148.48
2026-04-01 13:00:00+05:30,148.27,148.52,147.74,148.28,34518,148.28
2026-04-01 13:30:00+05:30,148.43,148.43,147.13,147.73,60470,148.08
2026-04-01 14:00:00+05:30,147.73,148.11,147.59,147.88,27917,147.80
2026-04-01 14:30:00+05:30,147.88,147.98,146.87,147.43,59723,147.66
2026-04-01 15:00:00+05:30,147.55,149.12,147.52,148.98,183492,148.26
2026-04-02 09:00:00+05:30,144.60,144.69,143.64,144.41,60503,144.50
2026-04-02 09:30:00+05:30,144.30,144.46,143.75,144.27,59160,144.29
2026-04-02 10:00:00+05:30,144.10,144.28,143.53,144.05,64806,144.07
2026-04-02 10:30:00+05:30,144.14,144.63,144.03,144.48,16949,144.31
2026-04-02 11:00:00+05:30,144.60,145.17,144.10,144.93,40829,144.76
2026-04-02 11:30:00+05:30,144.93,145.74,144.80,145.41,37803,145.17
2026-04-02 12:00:00+05:30,145.39,145.60,144.65,145.24,46856,145.32
2026-04-02 12:30:00+05:30,145.24,147.70,145.24,147.69,94107,146.46
2026-04-02 13:00:00+05:30,147.70,149.68,147.70,149.68,141875,148.69
2026-04-02 13:30:00+05:30,149.61,150.61,149.40,150.25,121883,149.93
2026-04-02 14:00:00+05:30,150.19,151.35,150.18,150.89,112564,150.54
2026-04-02 14:30:00+05:30,150.89,151.09,149.62,151.08,107809,150.99
2026-04-02 15:00:00+05:30,151.33,152.40,151.27,151.75,164960,151.54
2026-04-06 09:00:00+05:30,153.59,153.59,150.19,150.19,58553,151.89
2026-04-06 09:30:00+05:30,150.19,152.00,149.98,150.55,131735,150.37
