Datetime,Open,High,Low,Close,Volume,body_mid
2026-04-16 10:25:00+05:30,1335.40,1336.10,1334.70,1335.20,120634,1335.30
2026-04-16 10:30:00+05:30,1335.10,1336.00,1334.50,1335.20,179567,1335.15
2026-04-16 10:35:00+05:30,1335.50,1336.50,1334.60,1335.30,275879,1335.40
2026-04-16 10:40:00+05:30,1335.30,1336.00,1334.50,1334.90,202514,1335.10
2026-04-16 10:45:00+05:30,1335.10,1336.30,1334.70,1335.60,469800,1335.35
2026-04-16 10:50:00+05:30,1335.80,1337.40,1335.30,1337.20,191214,1336.50
2026-04-16 10:55:00+05:30,1337.10,1338.20,1336.80,1337.60,150499,1337.35
2026-04-16 11:00:00+05:30,1337.50,1340.40,1337.50,1339.70,391528,1338.60
2026-04-16 11:05:00+05:30,1339.20,1340.60,1337.90,1339.00,595889,1339.10
2026-04-16 11:10:00+05:30,1338.90,1338.90,1337.10,1338.50,267502,1338.70
2026-04-16 11:15:00+05:30,1338.40,1340.10,1336.80,1339.70,407927,1339.05
2026-04-16 11:20:00+05:30,1339.50,1341.00,1335.60,1336.40,873395,1337.95
2026-04-16 11:25:00+05:30,1336.30,1340.20,1336.30,1338.60,692012,1337.45
2026-04-16 11:30:00+05:30,1338.60,1340.50,1338.40,1339.60,228294,1339.10
2026-04-16 11:35:00+05:30,1339.60,1340.50,1338.30,1339.60,268045,1339.60
2026-04-16 11:40:00+05:30,1339.80,1339.80,1337.20,1337.30,223974,1338.55
2026-04-16 11:45:00+05:30,1337.40,1339.30,1336.20,1338.80,357104,1338.10
2026-04-16 11:50:00+05:30,1338.20,1338.70,1336.60,1338.30,447136,1338.25
2026-04-16 11:55:00+05:30,1338.20,1338.40,1336.10,1336.20,251706,1337.20
2026-04-16 12:00:00+05:30,1336.80,1337.20,1335.20,1335.30,215430,1336.05
2026-04-16 12:05:00+05:30,1335.20,1336.90,1334.60,1335.90,279418,1335.55
2026-04-16 12:10:00+05:30,1335.80,1337.40,1335.40,1335.40,99245,1335.60
2026-04-16 12:15:00+05:30,1335.30,1336.90,1334.60,1336.20,327193,1335.75
2026-04-16 12:20:00+05:30,1336.00,1336.30,1334.10,1334.60,237521,1335.30
2026-04-16 12:25:00+05:30,1335.00,1335.70,1334.20,1334.70,244100,1334.85
2026-04-16 12:30:00+05:30,1334.60,1335.20,1330.60,1330.90,480748,1332.75
2026-04-16 12:35:00+05:30,1330.90,1332.40,1330.50,1332.20,348041,1331.55
2026-04-16 12:40:00+05:30,1332.10,1334.00,1330.80,1331.20,431876,1331.65
2026-04-16 12:45:00+05:30,1331.20,1331.90,1330.00,1331.40,294508,1331.30
2026-04-16 12:50:00+05:30,1331.30,1333.80,1331.00,1331.50,229691,1331.40
2026-04-16 12:55:00+05:30,1331.00,1332.40,1330.30,1332.30,167135,1331.65
2026-04-16 13:00:00+05:30,1332.30,1333.00,1331.30,1332.40,173996,1332.35
2026-04-16 13:05:00+05:30,1332.40,1333.30,1330.00,1331.70,389055,1332.05
2026-04-16 13:10:00+05:30,1331.70,1332.50,1330.50,1332.30,164300,1332.00
2026-04-16 13:15:00+05:30,1331.80,1333.50,1331.70,1333.40,119603,1332.60
2026-04-16 13:20:00+05:30,1333.20,1334.90,1331.30,1332.00,559864,1332.60
2026-04-16 13:25:00+05:30,1332.00,1333.10,1331.30,1332.40,219209,1332.20
2026-04-16 13:30:00+05:30,1332.50,1334.00,1332.30,1333.70,117641,1333.10
2026-04-16 13:35:00+05:30,1333.70,1333.70,1332.70,1333.40,85669,1333.55
2026-04-16 13:40:00+05:30,1333.40,1334.00,1333.10,1333.70,119478,1333.55
2026-04-16 13:45:00+05:30,1333.70,1334.60,1333.60,1334.20,115278,1333.95
2026-04-16 13:50:00+05:30,1334.30,1336.20,1332.50,1335.50,703683,1334.90
2026-04-16 13:55:00+05:30,1335.30,1336.90,1334.40,1336.10,872247,1335.70
2026-04-16 14:00:00+05:30,1336.00,1336.20,1333.70,1334.70,200084,1335.35
2026-04-16 14:05:00+05:30,1334.60,1336.40,1334.20,1336.20,266272,1335.40
2026-04-16 14:10:00+05:30,1336.30,1337.50,1336.00,1336.80,232957,1336.55
2026-04-16 14:15:00+05:30,1337.00,1338.40,1336.50,1337.50,260654,1337.25
2026-04-16 14:20:00+05:30,1337.50,1338.00,1336.90,1337.70,140089,1337.60
2026-04-16 14:25:00+05:30,1337.70,1339.50,1337.40,1339.50,152363,1338.60
2026-04-16 14:30:00+05:30,1339.50,1340.60,1338.80,1340.50,341285,1340.00
2026-04-16 14:35:00+05:30,1340.60,1341.00,1339.00,1340.80,421367,1340.70
2026-04-16 14:40:00+05:30,1340.60,1341.50,1339.80,1341.00,374795,1340.80
2026-04-16 14:45:00+05:30,1341.30,1341.80,1341.00,1341.50,257604,1341.40
2026-04-16 14:50:00+05:30,1341.90,1343.00,1340.30,1341.90,701530,1341.90
2026-04-16 14:55:00+05:30,1341.90,1342.80,1340.60,1342.00,337149,1341.95
2026-04-16 15:00:00+05:30,1341.70,1345.60,1339.60,1342.10,1942057,1341.90
2026-04-16 15:05:00+05:30,1342.40,1343.80,1339.80,1340.00,1637708,1341.20
2026-04-16 15:10:00+05:30,1340.20,1345.70,1339.90,1343.50,1731110,1341.85
2026-04-16 15:15:00+05:30,1343.10,1345.60,1341.50,1342.20,992763,1342.65
2026-04-16 15:20:00+05:30,1342.20,1346.00,1342.20,1345.60,560510,1343.90
2026-04-16 15:25:00+05:30,1345.50,1346.80,1344.40,1345.80,414377,1345.65
2026-04-17 09:15:00+05:30,1341.40,1351.50,1341.40,1346.00,0,1343.70
2026-04-17 09:20:00+05:30,1346.50,1347.20,1343.70,1343.70,179799,1345.10
2026-04-17 09:25:00+05:30,1344.00,1347.10,1343.80,1346.90,140555,1345.45
2026-04-17 09:30:00+05:30,1346.80,1347.70,1345.60,1347.00,134905,1346.90
2026-04-17 09:35:00+05:30,1347.00,1348.40,1345.10,1348.40,133820,1347.70
2026-04-17 09:40:00+05:30,1348.00,1349.00,1346.60,1347.40,100487,1347.70
2026-04-17 09:45:00+05:30,1347.90,1347.90,1346.70,1347.50,80066,1347.70
2026-04-17 09:50:00+05:30,1347.70,1348.20,1347.40,1348.20,70949,1347.95
2026-04-17 09:55:00+05:30,1348.50,1349.50,1347.70,1348.90,228954,1348.70
2026-04-17 10:00:00+05:30,1348.70,1350.30,1348.50,1349.20,289724,1348.95
2026-04-17 10:05:00+05:30,1349.50,1351.80,1348.90,1350.00,223488,1349.75
2026-04-17 10:10:00+05:30,1350.10,1350.10,1349.20,1349.80,132701,1349.95
2026-04-17 10:15:00+05:30,1349.70,1350.60,1349.40,1350.30,75000,1350.00
2026-04-17 10:20:00+05:30,1350.20,1350.30,1349.40,1350.00,45247,1350.10
2026-04-17 10:25:00+05:30,1350.00,1350.00,1348.70,1349.00,121065,1349.50
2026-04-17 10:30:00+05:30,1348.70,1349.40,1348.00,1348.80,79869,1348.75
2026-04-17 10:35:00+05:30,1348.70,1351.70,1348.70,1350.70,265962,1349.70
2026-04-17 10:40:00+05:30,1350.60,1350.90,1350.00,1350.80,101868,1350.70
2026-04-17 10:45:00+05:30,1350.90,1351.40,1350.60,1351.00,91429,1350.95
2026-04-17 10:50:00+05:30,1350.80,1351.20,1350.70,1351.10,47714,1350.95
2026-04-17 10:55:00+05:30,1351.30,1351.80,1351.20,1351.20,69508,1351.25
2026-04-17 11:00:00+05:30,1351.20,1352.80,1351.10,1351.90,165194,1351.55
2026-04-17 11:05:00+05:30,1351.70,1357.00,1351.70,1356.90,288456,1354.30
2026-04-17 11:10:00+05:30,1357.00,1364.10,1356.80,1361.20,408663,1359.10
2026-04-17 11:15:00+05:30,1361.50,1363.90,1361.50,1363.50,274464,1362.50
2026-04-17 11:20:00+05:30,1363.80,1366.80,1363.80,1365.70,280933,1364.75
2026-04-17 11:25:00+05:30,1365.70,1367.00,1364.20,1365.00,186234,1365.35
2026-04-17 11:30:00+05:30,1365.00,1367.10,1364.00,1366.50,144706,1365.75
2026-04-17 11:35:00+05:30,1366.70,1367.90,1366.40,1367.30,131241,1367.00
2026-04-17 11:40:00+05:30,1367.50,1367.70,1365.30,1365.40,86550,1366.45
2026-04-17 11:45:00+05:30,1365.20,1365.60,1362.40,1362.90,146731,1364.05
2026-04-17 11:50:00+05:30,1363.00,1368.00,1362.90,1367.80,313320,1365.40
2026-04-17 11:55:00+05:30,1368.00,1368.10,1362.00,1362.10,402632,1365.05
2026-04-17 12:00:00+05:30,1362.10,1362.40,1359.50,1360.90,673958,1361.50
2026-04-17 12:05:00+05:30,1360.80,1364.70,1360.80,1363.50,538304,1362.15
2026-04-17 12:10:00+05:30,1363.80,1363.80,1362.40,1362.80,60060,1363.30
2026-04-17 12:15:00+05:30,1362.70,1364.90,1362.60,1364.20,74776,1363.45
2026-04-17 12:20:00+05:30,1363.90,1364.50,1363.30,1363.50,54698,1363.70
2026-04-17 12:25:00+05:30,1363.50,1363.80,1362.20,1362.90,73105,1363.20
2026-04-17 12:30:00+05:30,1362.90,1363.10,1361.60,1362.00,91063,1362.45
2026-04-17 12:35:00+05:30,1361.70,1362.50,1361.50,1362.00,134065,1361.85
2026-04-17 12:40:00+05:30,1362.10,1362.20,1360.40,1360.60,106868,1361.35
2026-04-17 12:45:00+05:30,1360.80,1361.90,1360.70,1361.40,98799,1361.10
2026-04-17 12:50:00+05:30,1361.40,1361.60,1360.50,1361.50,38182,1361.45
2026-04-17 12:55:00+05:30,1361.70,1361.80,1360.10,1360.70,48757,1361.20
2026-04-17 13:00:00+05:30,1360.60,1360.80,1359.20,1360.00,132522,1360.30
2026-04-17 13:05:00+05:30,1359.80,1362.50,1359.80,1362.20,85429,1361.00
2026-04-17 13:10:00+05:30,1362.10,1362.40,1360.80,1360.80,112211,1361.45
2026-04-17 13:15:00+05:30,1360.80,1361.20,1357.30,1357.50,211781,1359.15
2026-04-17 13:20:00+05:30,1357.40,1359.40,1357.00,1357.90,189240,1357.65
2026-04-17 13:25:00+05:30,1357.80,1359.80,1357.40,1359.50,105191,1358.65
2026-04-17 13:30:00+05:30,1359.50,1360.40,1359.00,1360.30,136132,1359.90
2026-04-17 13:35:00+05:30,1360.30,1362.60,1359.20,1361.90,95223,1361.10
2026-04-17 13:40:00+05:30,1361.80,1363.00,1361.20,1361.90,95009,1361.85
2026-04-17 13:45:00+05:30,1361.90,1362.20,1360.90,1361.50,55077,1361.70
2026-04-17 13:50:00+05:30,1361.90,1362.20,1361.60,1362.20,65864,1362.05
2026-04-17 13:55:00+05:30,1362.40,1363.20,1361.90,1362.80,65407,1362.60
2026-04-17 14:00:00+05:30,1362.90,1363.60,1362.70,1362.90,63079,1362.90
2026-04-17 14:05:00+05:30,1362.90,1363.50,1362.50,1363.10,52378,1363.00
2026-04-17 14:10:00+05:30,1362.90,1364.00,1362.90,1363.40,48708,1363.15
2026-04-17 14:15:00+05:30,1363.50,1364.30,1363.10,1364.20,117173,1363.85
2026-04-17 14:20:00+05:30,1364.30,1364.80,1363.20,1364.80,154986,1364.55
2026-04-17 14:25:00+05:30,1364.80,1364.90,1361.20,1361.20,167507,1363.00
2026-04-17 14:30:00+05:30,1361.20,1361.40,1358.90,1359.50,306557,1360.35
2026-04-17 14:35:00+05:30,1359.90,1361.30,1358.30,1360.40,164661,1360.15
2026-04-17 14:40:00+05:30,1360.40,1363.40,1359.70,1362.90,260490,1361.65
2026-04-17 14:45:00+05:30,1363.30,1364.50,1362.00,1364.20,460903,1363.75
2026-04-17 14:50:00+05:30,1363.90,1364.20,1363.00,1363.60,107504,1363.75
2026-04-17 14:55:00+05:30,1363.60,1364.50,1363.50,1364.40,96774,1364.00
2026-04-17 15:00:00+05:30,1364.50,1365.30,1363.00,1364.80,553494,1364.65
2026-04-17 15:05:00+05:30,1364.80,1366.80,1364.20,1366.10,447910,1365.45
2026-04-17 15:10:00+05:30,1366.20,1366.40,1365.40,1365.50,321142,1365.85
2026-04-17 15:15:00+05:30,1365.50,1365.70,1365.00,1365.30,328916,1365.40
2026-04-17 15:20:00+05:30,1365.40,1365.40,1365.00,1365.40,318008,1365.40
2026-04-17 15:25:00+05:30,1365.10,1365.50,1363.10,1364.50,333564,1364.80
2026-04-20 09:15:00+05:30,1362.80,1362.80,1352.90,1359.00,0,1360.90
2026-04-20 09:20:00+05:30,1359.70,1360.30,1358.00,1360.30,282923,1360.00
2026-04-20 09:25:00+05:30,1360.00,1364.70,1360.00,1364.20,259214,1362.10
2026-04-20 09:30:00+05:30,1364.20,1365.00,1360.00,1360.90,196867,1362.55
2026-04-20 09:35:00+05:30,1361.20,1362.30,1359.10,1359.50,224122,1360.35
2026-04-20 09:40:00+05:30,1359.60,1360.00,1357.50,1357.90,198527,1358.75
2026-04-20 09:45:00+05:30,1358.60,1358.80,1355.70,1357.10,285772,1357.85
2026-04-20 09:50:00+05:30,1357.10,1359.00,1355.80,1359.00,171129,1358.05
2026-04-20 09:55:00+05:30,1359.50,1360.20,1358.80,1359.40,90707,1359.45
2026-04-20 10:00:00+05:30,1359.50,1360.00,1358.30,1359.10,77548,1359.30
2026-04-20 10:05:00+05:30,1359.20,1360.80,1358.90,1360.80,53593,1360.00
2026-04-20 15:05:00+05:30,1365.00,1365.00,1363.10,1363.80,9823627,1364.40
2026-04-20 15:10:00+05:30,1363.70,1364.50,1363.50,1364.00,172828,1363.85
2026-04-20 15:15:00+05:30,1363.90,1364.70,1361.70,1362.40,427065,1363.15
2026-04-20 15:20:00+05:30,1362.20,1363.00,1360.30,1361.30,477494,1361.75
2026-04-20 15:25:00+05:30,1361.20,1363.00,1360.10,1362.90,274666,1362.05
2026-04-21 09:15:00+05:30,1360.80,1367.70,1360.80,1364.70,0,1362.75
2026-04-21 09:20:00+05:30,1365.30,1366.10,1362.40,1363.90,179452,1364.60
2026-04-21 09:25:00+05:30,1363.90,1363.90,1361.50,1361.50,136758,1362.70
2026-04-21 09:30:00+05:30,1361.20,1361.20,1359.00,1361.00,266918,1361.10
2026-04-21 09:35:00+05:30,1361.20,1362.00,1360.30,1361.00,141832,1361.10
2026-04-21 09:40:00+05:30,1361.10,1361.10,1359.30,1360.60,142949,1360.85
2026-04-21 09:45:00+05:30,1360.60,1363.20,1360.60,1362.30,254102,1361.45
2026-04-21 09:50:00+05:30,1362.30,1363.00,1361.90,1362.90,115696,1362.60
2026-04-21 09:55:00+05:30,1362.90,1363.00,1361.30,1362.00,166484,1362.45
2026-04-21 10:00:00+05:30,1362.00,1364.40,1361.80,1364.40,200451,1363.20
2026-04-21 10:05:00+05:30,1364.40,1364.60,1363.00,1363.90,170731,1364.15
2026-04-21 10:10:00+05:30,1363.70,1363.90,1362.50,1363.30,95068,1363.50
2026-04-21 10:15:00+05:30,1363.30,1364.00,1363.00,1363.20,109221,1363.25
2026-04-21 10:20:00+05:30,1363.00,1363.20,1360.40,1360.90,244878,1361.95
2026-04-21 10:25:00+05:30,1360.90,1361.20,1360.40,1361.10,103293,1361.00
2026-04-21 10:30:00+05:30,1361.50,1362.30,1360.40,1362.30,174433,1361.90
2026-04-21 10:35:00+05:30,1362.20,1362.90,1361.70,1362.60,134999,1362.40
2026-04-21 10:40:00+05:30,1362.60,1363.00,1362.00,1362.50,84633,1362.55
2026-04-21 10:45:00+05:30,1362.50,1362.50,1361.00,1361.50,106980,1362.00
2026-04-21 10:50:00+05:30,1361.30,1363.90,1361.30,1363.50,211406,1362.40
2026-04-21 10:55:00+05:30,1363.90,1367.20,1363.60,1367.20,399024,1365.55
2026-04-21 11:00:00+05:30,1367.30,1368.90,1366.60,1368.00,221265,1367.65
2026-04-21 11:05:00+05:30,1368.00,1369.80,1367.00,1367.10,377323,1367.55
2026-04-21 11:10:00+05:30,1367.60,1367.60,1365.80,1366.80,134190,1367.20
2026-04-21 11:15:00+05:30,1367.00,1367.00,1365.40,1366.40,147205,1366.70
2026-04-21 11:20:00+05:30,1366.50,1366.50,1364.30,1364.60,102499,1365.55
2026-04-21 11:25:00+05:30,1365.00,1365.00,1361.20,1361.60,209856,1363.30
2026-04-21 11:30:00+05:30,1361.60,1361.60,1359.30,1359.60,342003,1360.60
2026-04-21 11:35:00+05:30,1359.60,1360.00,1358.70,1358.90,282798,1359.25
2026-04-21 11:40:00+05:30,1358.90,1360.60,1357.60,1360.60,339492,1359.75
2026-04-21 11:45:00+05:30,1360.40,1362.70,1358.40,1358.60,470037,1359.50
